姓名,职务,职称,核心研究方向,简介（30字内）,详细介绍（300字以内）,照片,课题,论文,专著,专利,软著,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王丽,展示传播分实验室骨干,教授,中医古籍整理与中医药文化研究,多年来长期从事与中医古籍文献与文化的教学与科研工作,王丽，成都中医药大学教授，中医医史文献专业博士研究生。长期致力于中医古籍文献整理和中医药文化的研究及相关课程的教学工作。先后主持、参与各级课题多项，发表论文多篇，校注中医古籍《枕藏外科》《外科秘授著要》等，副主编《中华脉学观止》，参编《百年中医史》《揭秘敝昔遗书与漆人》等书，参编《中医文化学》《医古文》等多部全国中医药行业高等教育“十三五”“十四五”规划教材,√,巴蜀中西医结合教育先驱王仁叟医事与医著研究,《天回医简》对辞书编纂的参考价值刍议——以病症名为例,中医流派传承丛书 川派中医,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,巴蜀粥养粥疗文献与文化的研究,萧龙友“法当治本”学术思想研究,川派中医名家系列丛书：和中浚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,杨慎涉医研究,齐秉慧《齐氏医案》的学术渊源与特色探析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,川派中医和中浚学术经验总结与传承研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,川派名医王仁叟传世抄本医著整理与研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,干姜、筠姜的道地产地、名实考证及其文化资源挖掘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陈菊,实验室主任助理,副教授,中医人工智能、可解释神经网络,长期从事名中医AI传承及可解释神经网络与智能辨证算法应用研究。,长期从事中医人工智能、名中医经验AI传承及可解释神经网络相关研究，具备高级标准化工程师、数据挖掘与分析应用工程师等专业背景。研究方向聚焦中医临床智能辨证论治算法构建、证候特征挖掘、诊疗规律发现与可解释模型应用，注重将中医理论体系、临床经验知识与人工智能方法深度融合。近年来，围绕名老中医经验传承、中医证候识别、病证结合建模等开展研究实践。在出土医学文物数字化研究中，可结合古代医学文献、文物图像、术语知识和临床理论，开展多源数据整理、知识关联建模与智能分析，为出土医学文物的数字保护、知识发现提供技术支撑。,√,基于数据湖技术的疾病主客观征象及生物信息“分层特征关联网络”的发现及算法研究——糖尿病为例,PRO2SAT: Systematic probabilistic satisfiability logic in discrete hopfield neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,基于时序知识图谱的中医生命伦理思想演化研究,MTS-PRO2SAT: Hybrid mutation tabu search algorithm in optimizing probabilistic 2 satisfiability in discrete hopfield neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,医学文物文献数据知识发现软件平台研发,A Traditional Chinese Medicine Syndrome Classification Model Based on Cross-Feature Generation by Convolution Neural Network: Model Development and Validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,医学出土文物数字化挖掘及分析,"FGRA: Toward Flexible Logic Mining with Ensemble Multi-Attribute
Selection and Discrete Hopfield Neural Network",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,川派中医优势病种的多智能体“跨维度”群决策模型构建探讨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张肖瑾,修复保护分实验室学术骨干,副研究馆员,中医古籍保护与修复研究,主要从事中医古籍文献研究。参与多项国家级及部省级课题，参编著作十余部，对中医药古籍的保护与修复、整理挖掘均有研究。,主要从事中医古籍文献整理与学术研究工作，先后参与多项国家级、部省级科研课题研究任务，参编学术专著、古籍整理著作十余部。长期专注中医古籍普查定级、原生保护与修复技艺探究，开展文献资源数字化整理与学术价值阐释，在中医药古籍传承保护、文献挖掘利用均有研究,,成都中医药大学图书馆古籍《脉因证治四卷》《古本难经阐注四卷》等十五种一般修复项目,明代医家徐用宣《袖珍小儿方》学术思想研究,巴蜀中医文献珍本汇刊（第一辑）,,中医抄本古籍大数据可视化分析系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,《药要便蒙二卷》 《神农本草经四卷》《辨证录十四卷附胎产秘书三卷》古籍修复项目,巴蜀中医古籍知识库建设思路的探讨,巴蜀中医文献珍本汇刊（第二辑）,,巴蜀中医儿科医案数字化系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,巴蜀中医药古籍数字化建设,非遗视域下高校传统文化美育教育路径研究——以成都中医药大学图书馆为例,川派中医名家珍本汇刊,,巴蜀中医处方脉案数字化系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,数字人文视野下川派名医处方笺的整理研究,《白喉治法要言》治法用药探析,儿科古籍文献选读,,中医疫病文献大数据可视化分析系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,成都名中医处方笺整理及知识图谱构建研究,芝屿樵客《儿科醒》儿科疾病诊治思想探骊,民国时期温病学文献汇编,,巴蜀中医文库数字化系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,川派名医唐伯渊手迹搜集整理研究,基于名医处方手迹浅析巴蜀医家遣方用药特点及思想,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,中药材染纸与古籍修复保护研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
闵新,数字研究分实验室骨干,助理研究员,古籍数字化,多年来以古籍研究从业者身份投身于古籍数字化领域，对古籍文本识别、古籍数据整编、文献信息标注、古籍数据库搭建等一系列生产流程和内容产出均有深入研究，长期深耕古籍数据处理方向，专注古籍资源数字化转化与结构化整理工作。,多年来以古籍数字化研究从业者身份深耕古籍文献行业，长期专注于古籍数据处理核心领域。从业期间，系统钻研古籍文字录入、文本校勘、异体字整理、古籍信息标引、数据结构化加工、古籍资源数字化转化等一系列完整生产流程与内容产出工作，具备扎实的专业理论功底与丰富的实操经验。聚焦古籍数据清洗、文本规范化处理、古籍知识库搭建等关键方向，持续探索古籍文献数字化整理的方法与路径。熟练应对古籍文献繁杂、文字晦涩、版本多样等整理难点，严谨完成各类古籍数据梳理、校对整合与标准化输出工作。始终秉持严谨务实的治学态度，立足古籍保护与活化利用需求，不断优化古籍数据处理模式，为古籍文献数字化传承、古籍资源高效利用与学术研究赋能。,√,多模态数据与知识驱动的糖尿病并发症“相似性关联网络”构建及风险预测方法研究,Hypergraph topic neural network with cross-modal fusion for latent treatment pattern recommendation ,"大学计算机基础 第8版
（普通高等教育通识类课程教材）",基于大语言模型的中医古籍症状标准化处理方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
